t,x,y,track_y,heading,error,correction,distance_cm,speed_cap,left_speed,right_speed,terrain_mult
1.16,14.375038277945709,32.34327377431185,35.5818155619899,1.0876931525397797,0.12207870570796969,21.980408502782872,236.75582565917108,30.0,8.019591497217128,51.98040850278287,1.0
1.18,14.630754675473073,32.88605284910713,36.0275153946087,1.1305149814442248,0.11951935083046981,17.128731561778014,236.6394539014505,30.0,12.871268438221986,47.12873156177801,1.0
1.2,14.87204519322024,33.43539689981243,36.44004989419085,1.1569314916896842,0.0979634975621671,10.56660409818376,236.52718807610543,30.0,19.43339590181624,40.56660409818376,1.0
1.22,15.127085216132913,33.97849411644377,36.8675699566515,1.131760748632541,-0.02525452424817006,-10.068297222857304,236.27807152849158,30.0,40.0682972228573,19.931702777142696,1.0
1.24,15.381630584050628,34.521823349663954,37.28547650990397,1.1326713578336434,0.027995583838335232,0.3642436804410103,236.00905408512898,30.0,29.63575631955899,30.36424368044101,1.0
1.26,15.663144567279955,35.051681705497245,37.73738156196412,1.0824230304414788,-0.10689880226589045,-20.099330956865852,235.93654935287492,30.0,50.099330956865856,9.900669043134148,1.0
1.28,15.913718216867174,35.596854014159874,38.13049208084321,1.1399689142480836,0.14844723247023617,23.01835352264193,235.68183242018347,30.0,6.981646477358069,53.01835352264193,1.0
1.3,16.139769782699805,36.15264236379003,38.47772304507953,1.1845082529127486,0.14381478953666701,17.815735465866027,235.50474929587068,30.0,12.184264534133973,47.81573546586603,1.0
1.32,16.361007507011937,36.710364399701454,38.81073061036149,1.1931544435439108,0.07099591436905224,3.45847625246489,235.36187762996232,30.0,26.54152374753511,33.45847625246489,1.0
1.34,16.560482111677928,37.27623530555662,39.10517152024831,1.2318880415408238,0.1515039702054486,15.493439198765156,235.25832953591464,30.0,14.506560801234844,45.49343919876516,1.0
1.36,16.752742765148383,37.84459772613623,39.38373786827442,1.244608270715008,0.10032149553028655,5.088091669673693,235.0295742753985,30.0,24.911908330326305,35.088091669673695,1.0
